,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
45,OAT2304C,548.8827972,181129,64.57444673,22.67856609,-27.42518628,0.086103507,126.4857462,NA,5.723336932,4.524825515,4.52,4.52,0,0.381629993,oat,4,C,230,4,1561.33,984.12,charred,36.96912248,13.16309968
43,OAT2304A,414.8204375,181129,56.05681588,21.51387281,-27.23639142,0.085352332,105.6312678,NA,4.936040551,5.105638505,5.11,5.11,0,0.377917259,oat,4,A,230,4,1561.33,984.12,charred,36.96912248,13.24940868
102,RYE2304A,458.449288,181129,56.59867753,36.02092446,-25.39296974,0.078366345,115.0497343,NA,3.584578793,5.370028926,6.21,6.21,0.84,0.350464291,rye,4,A,230,4,1199.55,777.88,charred,35.1523488,16.75311228
154,SPT2304B,496.7674033,181129,61.32930905,22.56685516,-27.25790321,0.085437616,85.61041478,NA,3.267573083,6.274534232,6.27,6.27,0,0.373904966,spelt,4,B,230,4,2644.56,1679.74,charred,36.48319569,21.89724873
155,SPT2304C,400.1641343,181129,53.35521791,23.71440073,-27.15445153,0.085028209,98.47078886,NA,3.701909356,6.355121856,6.36,6.36,0,0.37380189,spelt,4,C,230,4,2644.56,1679.74,charred,36.48319569,16.81504009
116,C5NB230-4B,380.608501,131022,59.47007828,,-27.93622776,0.051852411,51.7963252,130927,1.811060322,6.532860173,6.53,6.53,0,0.293651433,NB,4,B,230,4,1.73741,1.023,charred,41.11925222,38.31002047
153,SPT2304A,466.2726136,181129,56.86251385,23.13210533,-27.46790531,0.086274311,86.73884281,NA,3.154139739,6.759640561,6.76,6.76,0,0.3736256,spelt,4,A,230,4,2644.56,1679.74,charred,36.48319569,21.03254928
110,C5LEN230-8B,360.3071176,131016,59.06674059,,-26.21819937,0.047681018,103.6042085,130927,6.641295417,0.468614798,0.47,0.47,0,0.321420119,LE,8,B,230,5,1.53211,0.88232,charred,42.41144565,10.37616806
109,C5LEN230-8A,380.1905319,131016,59.40477061,,-25.92530558,0.047355097,101.3681349,130927,6.180983835,0.586863457,0.59,0.59,0,0.320791017,LE,8,A,230,5,1.53211,0.88232,charred,42.41144565,11.21270781
111,C5LEN230-8C,385.7891142,131026,57.58046481,,-26.43101627,0.075582129,95.65981332,130927,6.293408771,0.736716543,0.74,0.74,0,0.319998334,LE,8,C,230,5,1.53211,0.88232,charred,42.41144565,10.67421669
129,C5PEA230-8C,415.9151445,131025,61.16399184,,-27.4779349,0.076418508,92.75670927,130902,5.908070654,0.919799261,0.92,0.92,0,0.333213795,PE,8,C,230,5,6.10898,3.36757,charred,44.87508553,12.078053
92,C5EIN230-8B,382.36,131017,60.69206349,,-27.0793781,0.050676286,87.93413283,130927,2.940940897,1.375875354,1.38,1.38,0,0.316675454,EI,8,B,230,5,1.75721,1.0048,charred,42.81844515,24.07644692
93,C5EIN230-8C,416.6922885,131022,61.27827772,,-27.29436122,0.05070692,95.93806707,130927,3.045652923,1.412966031,1.41,1.41,0,0.316485555,EI,8,C,230,5,1.75721,1.0048,charred,42.81844515,23.47323409
128,C5PEA230-8B,365.509696,131022,58.95317677,,-27.72128312,0.051459533,97.95854491,130903,5.865781132,1.454049308,1.45,1.45,0,0.193172395,PE,8,B,230,5,6.10898,3.36757,charred,44.87508553,11.72541298
102,C5EM230-8C,385.8084926,131026,60.28257697,,-25.26729022,0.071959543,80.66736636,130902,2.593805992,1.484147863,1.48,1.48,0,0.325583943,EM,8,C,230,5,2.29969,1.29155,charred,43.83808252,27.11446937
84,C5BW230-8C,397.340754,131022,61.12934677,,-26.8085438,0.049897105,68.55224885,130927,2.413811579,1.589111039,1.59,1.59,0,0.315588164,BW,8,C,230,5,2.8869,1.5755,charred,45.42588936,29.54562479
101,C5EM230-8B,374.7185486,131023,57.64900748,,-25.30582681,0.082219411,85.62610264,130819,2.993919673,1.708493316,1.71,1.71,0,0.323151303,EM,8,B,230,5,2.29969,1.29155,charred,43.83808252,22.46458915
