,ID,,,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15Nav,normd15N,d15Nsd,d15n28th,,normd15N1,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,,,,
199,C7EIN260-8A,#N/A,,131016,64.36004446,-27.2954329,0.049092724,130903,3.089125501,0.95912175,0.95912175,0.194693958,0.96,TRUE,0.96,EI,8,A,260,11,1.76344,0.89756,charred,49.10175566,24.30678796,,,,
201,C7EIN260-8C,#N/A,,131022,65.59333569,-27.23600186,0.050606974,130902,3.494575968,1.134065714,1.134065714,0.330310175,1.13,TRUE,1.13,EI,8,C,260,11,1.76344,0.89756,charred,49.10175566,21.89838166,,,,
200,C7EIN260-8B,#N/A,,131023,65.85315643,-27.22988715,0.085255557,130902,3.530582636,1.179107693,1.179107693,0.329700835,1.18,TRUE,1.18,EI,8,B,260,11,1.76344,0.89756,charred,49.10175566,21.7609076,,,,
194,C7EIN260-24B,#N/A,,131023,77.82465504,-27.25087057,0.085293397,131027,3.078739817,0.497942663,0.497942663,0.415410963,0.5,TRUE,0.5,EI,24,B,260,12,1.86801,0.89049,charred,52.32948432,29.49110229,,,,
195,C7EIN260-24C,#N/A,,131016,70.25000768,-27.21602425,0.048977612,131027,3.466909838,0.796410467,0.796410467,0.413498328,0.8,TRUE,0.8,EI,24,C,260,12,1.86801,0.89049,charred,52.32948432,23.64017126,,,,
193,C7EIN260-24A,#N/A,,131021,65.08413858,-27.10627916,0.05271095,130819,3.775500133,2.079657757,2.079657757,0.320461485,2.08,TRUE,2.08,EI,24,A,260,12,1.86801,0.89049,charred,52.32948432,20.11163881,,,,
259,EIN0-0A,#N/A,,131026,40.87151159,-27.02910338,0.077565247,130930,2.021134478,1.0034381,1.0034381,0.330207832,1,TRUE,1,EI,0,A,0,13,1.95321,1.95321,fresh,0,23.59240848,,,,
261,EIN0-0C,#N/A,,131021,39.56821811,-27.20982867,0.052890863,130930,1.842981414,1.114547691,1.114547691,0.329263454,1.11,TRUE,1.11,EI,0,C,0,13,1.95321,1.95321,fresh,0,25.04795804,,,,
260,EIN0-0B,#N/A,,131025,41.62898818,-26.90432739,0.075056927,130930,2.02304875,1.465409629,1.465409629,0.326311448,1.47,TRUE,1.47,EI,0,B,0,13,1.95321,1.95321,fresh,0,24.00691179,,,,
45,C4EM215-4C,#N/A,,131025,47.33452154,-25.35691512,0.071876722,130927,2.109040358,0.898905891,0.898905891,0.31914618,0.9,TRUE,0.9,EM,4,C,215,1,1.91116,1.46082,charred,23.56369953,26.18423505,,,,
44,C4EM215-4B,#N/A,,131025,48.63843005,-25.62887358,0.072380731,130819,2.238743039,1.138986146,1.138986146,0.327537831,1.14,TRUE,1.14,EM,4,B,215,1,1.91116,1.46082,charred,23.56369953,25.3467388,,,,
43,C4EM215-4A,#N/A,,131025,48.42557017,-25.22929001,0.07164864,130819,2.277295579,1.661016806,1.661016806,0.323505101,1.66,TRUE,1.66,EM,4,A,215,1,1.91116,1.46082,charred,23.56369953,24.80859272,,,,
46,C4EM215-8A,#N/A,,131017,56.17384615,-25.49481165,0.048236026,130903,2.675847983,1.130041548,1.130041548,0.194164567,1.13,TRUE,1.13,EM,8,A,215,2,2.00825,1.30048,charred,35.24312212,24.49173281,,,,
48,C4EM215-8C,#N/A,,131026,52.30501016,-25.39151117,0.072330304,130902,2.694454446,1.241369008,1.241369008,0.328859153,1.24,TRUE,1.24,EM,8,C,215,2,2.00825,1.30048,charred,35.24312212,22.64744611,,,,
47,C4EM215-8B,#N/A,,131025,54.75061016,-25.39316687,0.071942497,131027,2.732202387,1.886136685,1.886136685,0.407108963,1.89,TRUE,1.89,EM,8,B,215,2,2.00825,1.30048,charred,35.24312212,23.37883612,,,,
40,C4EM215-24A,#N/A,,131025,60.15754838,-25.2939445,0.071763506,130902,3.023421035,1.056349218,1.056349218,0.331362402,1.06,TRUE,1.06,EM,24,A,215,3,2.42423,1.37076,charred,43.45586021,23.21337506,,,,
41,C4EM215-24B,#N/A,,131016,62.99115065,-25.38183383,0.046819029,130903,3.000119802,1.280905027,1.280905027,0.193700732,1.28,TRUE,1.28,EM,24,B,215,3,2.42423,1.37076,charred,43.45586021,24.49558038,,,,
42,C4EM215-24C,#N/A,,131016,62.08665592,-25.41751051,0.046851435,130819,3.025089425,1.962077516,1.962077516,0.321298878,1.96,TRUE,1.96,EM,24,C,215,3,2.42423,1.37076,charred,43.45586021,23.9445589,,,,
98,C5EM230-4B,#N/A,,131021,59.59928855,-25.60365364,0.05026171,130902,2.775385925,1.067398967,1.067398967,0.33121273,1.07,TRUE,1.07,EM,4,B,230,4,2.27731,1.38325,charred,39.25947719,25.05327373,,,,
99,C5EM230-4C,#N/A,,131021,49.81389508,-25.29893238,0.049804171,130902,2.803459651,1.075418519,1.075418519,0.331104116,1.08,TRUE,1.08,EM,4,C,230,4,2.27731,1.38325,charred,39.25947719,20.73017563,,,,
97,C5EM230-4A,#N/A,,131025,59.36254941,-25.3492746,0.071862914,130926,2.833944729,1.141946525,1.141946525,0.217356022,1.14,TRUE,1.14,EM,4,A,230,4,2.27731,1.38325,charred,39.25947719,24.43812927,,,,
102,C5EM230-8C,#N/A,,131026,60.28257697,-25.26729022,0.071959543,130902,2.593805992,1.484147863,1.484147863,0.325583943,1.48,TRUE,1.48,EM,8,C,230,5,2.29969,1.29155,charred,43.83808252,27.11446937,,,,
101,C5EM230-8B,#N/A,,131023,57.64900748,-25.30582681,0.082219411,130819,2.993919673,1.708493316,1.708493316,0.323151303,1.71,TRUE,1.71,EM,8,B,230,5,2.29969,1.29155,charred,43.83808252,22.46458915,,,,
100,C5EM230-8A,#N/A,,131017,62.59846154,-25.41406941,0.04812402,130902,3.097497766,1.840670948,1.840670948,0.320794449,1.84,TRUE,1.84,EM,8,A,230,5,2.29969,1.29155,charred,43.83808252,23.57759197,,,,
95,C5EM230-24B,#N/A,,131025,61.8481949,-25.24826731,0.07168221,130903,2.976964359,1.022936431,1.022936431,0.194495822,1.02,TRUE,1.02,EM,24,B,230,6,2.24282,1.15585,charred,48.46443317,24.23818987,,,,
96,C5EM230-24C,#N/A,,131025,63.38069359,-25.20713696,0.071609604,130902,3.228788459,1.105745881,1.105745881,0.33069348,1.11,TRUE,1.11,EM,24,C,230,6,2.24282,1.15585,charred,48.46443317,22.90151351,,,,
94,C5EM230-24A,#N/A,,131021,64.93242594,-25.22420755,0.049694106,130819,3.423252609,2.436758371,2.436758371,0.318003227,2.44,TRUE,2.44,EM,24,A,230,6,2.24282,1.15585,charred,48.46443317,22.12939142,,,,
153,C6EM245-4C,#N/A,,131026,62.76352558,-25.47462956,0.072580598,130902,3.053863756,0.980712431,0.980712431,0.332387505,0.98,TRUE,0.98,EM,4,C,245,7,2.09324,1.13212,charred,45.91542298,23.9775311,,,,
152,C6EM245-4B,#N/A,,131026,61.60552565,-25.08330916,0.071417813,130902,3.074179501,1.212491586,1.212491586,0.329249446,1.21,TRUE,1.21,EM,4,B,245,7,2.09324,1.13212,charred,45.91542298,23.37960852,,,,
151,C6EM245-4A,#N/A,,131022,60.56564499,-25.37015276,0.047813552,130903,2.935484311,1.647543338,1.647543338,0.192587063,1.65,TRUE,1.65,EM,4,A,245,7,2.09324,1.13212,charred,45.91542298,24.07095786,,,,
156,C6EM245-8C,#N/A,,131016,59.54664545,-25.67534937,0.047097328,130902,3.051418797,1.098975867,1.098975867,0.330785133,1.1,TRUE,1.1,EM,8,C,245,8,2.17178,1.12741,charred,48.08820415,22.76681471,,,,
155,C6EM245-8B,#N/A,,131026,61.60382797,-25.86998489,0.073794807,130819,3.147934788,1.913147513,1.913147513,0.321651389,1.91,TRUE,1.91,EM,8,B,245,8,2.17178,1.12741,charred,48.08820415,22.83120124,,,,
