,ID,X.x,Cugdc,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
91,RYE2158B,91,302.9167821,181031,45.21146001,-26.03039395,0.082235899,28.70061669,NA,1.400030082,1.737177453,0.358616354,-0.71740377,rye,8,B,215,2,1367.11,1008.17,charred,26.25538545,37.67540713
92,RYE2158C,92,314.6569748,181031,48.40876535,-25.88101167,0.082129507,28.87078351,NA,1.408330903,1.057889283,0.366339998,-0.743656453,rye,8,C,215,2,1367.11,1008.17,charred,26.25538545,40.102005
93,RYE2158E,93,292.7954525,181031,43.70081381,-25.6846581,0.081993513,31.07403028,NA,1.553701514,2.848532669,0.346834972,-0.674452843,rye,8,E,215,2,1367.11,1008.17,charred,26.25538545,32.81472169
36,OAT2158E,36,331.9461456,181031,49.54420084,-28.11874323,0.083982567,69.85965673,NA,2.558961785,4.612954966,0.272133566,-0.60626261,oat,8,E,215,2,1510.05,1106.37,charred,26.73288964,22.58789794
35,OAT2158D,35,317.1972163,181031,51.16084134,-28.20110571,0.084061146,83.1090523,NA,2.978819079,4.303286932,0.273127443,-0.618230457,oat,8,D,215,2,1510.05,1106.37,charred,26.73288964,20.0373526
34,OAT2158A,34,396.5739504,181031,55.85548597,-27.35048152,0.083284532,103.0504439,NA,3.378703079,4.719166154,0.271810253,-0.60215783,oat,8,A,215,2,1510.05,1106.37,charred,26.73288964,19.28690747
62,C4NB215-4B,27,315.0904646,131016,48.47545609,-28.07948047,0.050318686,48.52330736,130910,1.575432057,9.003874275,0.209002345,0,NB,4,B,215,1,1.97168,1.41168,charred,28.4021748,35.89789767
61,C4NB215-4A,34,299.4556543,131025,48.29929908,-28.09364208,0.077981104,50.5125678,130926,1.634710932,3.722122105,0.216605233,0,NB,4,A,215,1,1.97168,1.41168,charred,28.4021748,34.47042603
63,C4NB215-4C,37,352.815761,131021,51.13271899,-27.916968,0.054155044,53.61951747,130902,1.713083625,4.155619638,0.290358045,0,NB,4,C,215,1,1.97168,1.41168,charred,28.4021748,34.82307456
70,C4PEA215-4A,17,298.26,131017,43.22608696,-27.19039867,0.050863604,71.4426777,130926,4.579658827,0.414834873,0.218604422,0,PE,4,A,215,1,6.108,4.32008,charred,29.27177472,11.01183225
72,C4PEA215-4C,21,353.9193972,131022,53.62415109,-27.51250162,0.051086801,73.51962967,130903,4.868849647,3.06466867,0.188468914,0,PE,4,C,215,1,6.108,4.32008,charred,29.27177472,12.84934104
71,C4PEA215-4B,48,333.0118827,131016,50.45634586,-27.47340082,0.049356872,76.92532378,130910,4.662140835,0.163921956,0.215650446,0,PE,4,B,215,1,6.108,4.32008,charred,29.27177472,12.62633175
145,SPT2158C,145,411.9812999,181031,64.55999164,-27.04441979,0.083024269,49.31776745,NA,1.761348838,5.647002486,0.269373081,-0.566299421,spelt,8,C,215,2,2757.69,1928.8,charred,30.05740312,42.76267633
144,SPT2158B,144,423.5640111,181031,62.28882516,-27.5228635,0.083435625,84.84777167,NA,2.946103183,7.009051763,0.267080926,-0.513659835,spelt,8,B,215,2,2757.69,1928.8,charred,30.05740312,24.66658209
143,SPT2158A,143,319.7717816,181031,51.57609381,-27.15498358,0.083117092,86.61999331,NA,2.916498091,6.649532194,0.2675353,-0.527554311,spelt,8,A,215,2,2757.69,1928.8,charred,30.05740312,20.63162997
29,C4BW215-8B,24,292.13736,131025,48.68956,-26.83692791,0.074903145,56.58439597,130927,1.773805516,2.102157916,0.313016742,0,BW,8,B,215,2,2.39312,1.65225,charred,30.95833055,32.02407826
30,C4BW215-8C,37,360.3021824,131021,53.77644513,-27.1425402,0.052773797,58.03726496,130930,1.825071225,1.577901676,0.325374827,0,BW,8,C,215,2,2.39312,1.65225,charred,30.95833055,34.37629454
28,C4BW215-8A,35,326.78,131017,51.86984127,-27.26104813,0.050983858,60.84334196,130910,1.975433181,2.530379304,0.208278071,0,BW,8,A,215,2,2.39312,1.65225,charred,30.95833055,30.63369362
241,C8HBH215-8A,24,373.5914039,131130,54.93991234,-26.58769781,0.055549037,56.3146488,131128,1.935211299,0.421721825,0.178014837,0,HBH,8,A,215,H2,2.62,1.72,charred,34.35114504,33.12122269
243,C8HBH215-8C,64,357.5959933,131130,55.87437395,-26.28022252,0.055061978,63.69496536,131128,2.227096691,0.051500291,0.178802189,0,HBH,8,C,215,H2,2.62,1.72,charred,34.35114504,29.26984261
242,C8HBH215-8B,58,358.6204336,131120,53.52543785,-26.01954179,0.070859321,70.02171662,131121,2.38981968,0.652983205,0.29791587,0,HBH,8,B,215,H2,2.62,1.72,charred,34.35114504,26.13014893
57,C4LEN215-8C,19,358.8385861,131026,52.77038031,-26.4988421,0.075803099,88.34222298,130927,5.736507986,0.663485199,0.320385069,0,LE,8,C,215,2,1.40023,0.91672,charred,34.53075566,10.73221616
56,C4LEN215-8B,56,323.7046962,131026,51.38169781,-25.86450158,0.073777704,91.37784897,130927,6.01170059,0.787719486,0.319729711,0,LE,8,B,215,2,1.40023,0.91672,charred,34.53075566,9.971440396
55,C4LEN215-8A,65,331.1562293,131021,53.41229505,-26.42215143,0.051557418,92.8332354,130927,5.73044663,0.63217157,0.32055081,0,LE,8,A,215,2,1.40023,0.91672,charred,34.53075566,10.8742561
99,RYE2304C,99,NA,NA,NA,NA,NA,32.77120459,NA,1.63856023,3.093853626,0.34438637,-0.66497184,rye,4,C,230,4,1199.55,777.88,charred,35.1523488,NA
100,RYE2304E,100,448.9308609,181129,56.80593376,-25.27898158,0.077957306,38.72477889,NA,1.84403709,2.543712101,0.416917953,-0.686233348,rye,4,E,230,4,1199.55,777.88,charred,35.1523488,35.93940151
98,RYE2304B,98,430.5936599,181129,51.8787542,-25.7642876,0.079718614,79.73212364,NA,3.986606182,2.425839992,0.351185564,-0.690788793,rye,4,B,230,4,1199.55,777.88,charred,35.1523488,15.18214001
97,RYE2304A,97,458.449288,181129,56.59867753,-25.39296974,0.078366345,80.01172101,NA,3.941464089,3.892540002,0.336819885,-0.634104734,rye,4,A,230,4,1199.55,777.88,charred,35.1523488,16.75311228
48,C4EM215-8C,51,355.6740691,131026,52.30501016,-25.39151117,0.072330304,77.06139715,130902,2.694454446,1.241369008,0.328859153,0,EM,8,C,215,2,2.00825,1.30048,charred,35.24312212,22.64744611
47,C4EM215-8B,17,366.8290881,131025,54.75061016,-25.39316687,0.071942497,83.60539304,131027,2.732202387,1.886136685,0.407108963,0,EM,8,B,215,2,2.00825,1.30048,charred,35.24312212,23.37883612
46,C4EM215-8A,30,365.13,131017,56.17384615,-25.49481165,0.048236026,85.09196587,130903,2.675847983,1.130041548,0.194164567,0,EM,8,A,215,2,2.00825,1.30048,charred,35.24312212,24.49173281
38,C4EIN215-8B,51,376.9451974,131026,56.26047722,-27.05198612,0.077642635,82.2832203,130927,2.671533127,1.444218608,0.316325798,0,EI,8,B,215,2,1.80446,1.16338,charred,35.52752624,24.56912204
37,C4EIN215-8A,45,380.43,131017,56.78059701,-27.24086257,0.050949417,84.98494842,130819,2.851843907,1.564824602,0.324228624,0,EI,8,A,215,2,1.80446,1.16338,charred,35.52752624,23.22849077
39,C4EIN215-8C,40,398.2533454,131022,58.56666844,-27.25641855,0.050641858,88.29478884,130927,2.767861719,1.522143815,0.315928468,0,EI,8,C,215,2,1.80446,1.16338,charred,35.52752624,24.68612481
150,SPT2304B,150,496.7674033,181129,61.32930905,-27.25790321,0.085437616,85.61041478,NA,3.267573083,5.710696412,0.38646591,-0.56383782,spelt,4,B,230,4,2644.56,1679.74,charred,36.48319569,21.89724873
149,SPT2304A,149,466.2726136,181129,56.86251385,-27.46790531,0.086274311,86.73884281,NA,3.154139739,6.215304504,0.386253223,-0.544336057,spelt,4,A,230,4,2644.56,1679.74,charred,36.48319569,21.03254928
151,SPT2304C,151,400.1641343,181129,53.35521791,-27.15445153,0.085028209,98.47078886,NA,3.701909356,5.79452374,0.38637195,-0.560598116,spelt,4,C,230,4,2644.56,1679.74,charred,36.48319569,16.81504009
41,OAT2304B,41,500.8279214,181129,63.39593942,-27.66526646,0.087067341,93.38228927,NA,4.147110644,2.970751343,0.408102536,-0.669729416,oat,4,B,230,4,1561.33,984.12,charred,36.96912248,17.83456861
40,OAT2304A,40,414.8204375,181129,56.05681588,-27.23639142,0.085352332,105.6312678,NA,4.936040551,4.494809902,0.39043481,-0.610828603,oat,4,A,230,4,1561.33,984.12,charred,36.96912248,13.24940868
42,OAT2304C,42,548.8827972,181129,64.57444673,-27.42518628,0.086103507,126.4857462,NA,5.723336932,3.890647646,0.394187902,-0.634177869,oat,4,C,230,4,1561.33,984.12,charred,36.96912248,13.16309968
28,OAT21524A,28,372.9122258,181031,57.37111166,-27.59081807,0.083496071,97.87718752,NA,3.219644326,4.830202947,0.271481904,-0.597866553,oat,24,A,215,3,1570.52,974.36,charred,37.95940198,20.78893096
