,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
115,RYE0A,RYE0A,RYE0A,190402,41.33354063,-25.60012486,0.061249673,190405,1.417245323,3.734427714,0.386997767,,,,,,,,,,
116,RYE0A,RYE0A,RYE0A,190117,40.07727543,-25.63311556,0.256964061,190405,1.417245323,3.734427714,0.386997767,,,,,,,,,,
117,RYE0B,RYE0B,RYE0B,190117,36.22597945,-25.8506203,0.259992356,190405,1.221305395,4.082014977,0.382050955,,,,,,,,,,
118,RYE0B,RYE0B,RYE0B,190402,39.16559345,-25.80147504,0.061865666,190405,1.221305395,4.082014977,0.382050955,,,,,,,,,,
119,RYE0C,RYE0C,RYE0C,190402,33.00271321,-24.84574338,0.058982513,190405,1.62857425,3.353983843,0.392668591,,,,,,,,,,
120,RYE0C,RYE0C,RYE0C,190117,33.91672609,-24.93495973,0.247358233,190405,1.62857425,3.353983843,0.392668591,,,,,,,,,,
121,RYE21524A,RYE21524A,RYE21524A,181031,61.43648489,-24.98896863,0.081547204,181112,1.997766856,5.676192305,0.263823711,,,,,,,,,,
122,RYE21524A,RYE21524A,RYE21524A,190402,39.82043744,-25.00377793,0.059451919,181112,1.997766856,5.676192305,0.263823711,,,,,,,,,,
123,RYE21524B,RYE21524B,RYE21524B,190402,105.0281554,-24.74960897,0.058698466,190228,2.202219091,3.790747597,0.334033802,-24.85490151,4.812971693,0.298700657,,#DIV/0!,,,,,
126,RYE21524B,RYE21524B,RYE21524B,181031,66.42851822,-24.96019405,0.081529946,181112,2.195270994,5.83519579,0.263367512,,,,,,,,,,
127,RYE21524C,RYE21524C,RYE21524C,190402,57.91006402,-25.98876768,0.062442534,181112,1.845735323,4.175881505,0.269210648,,,,,,,,,,
128,RYE21524C,RYE21524C,RYE21524C,181031,70.6572993,-26.13299125,0.082310432,181112,1.845735323,4.175881505,0.269210648,,,,,,,,,,
129,RYE2154B,RYE2154B,RYE2154B,181031,43.95258208,-25.77702964,0.082056943,181112,1.432668851,3.967638551,0.270109195,,,,,,,,,,
130,RYE2154C,RYE2154C,RYE2154C,181031,42.30934627,-25.62407343,0.081952439,181112,1.380744398,3.888653257,0.270459371,,,,,,,,,,
131,RYE2154E,RYE2154E,RYE2154E,NA,NA,NA,NA,181112,1.445875133,3.769880543,0.270995572,,,,,,,,,,
132,RYE2154EDA,RYE2154EDA,RYE2154EDA,181031,43.06228237,-25.82037348,0.082087041,NA,NA,NA,NA,,,,,,,,,,
133,RYE2154EDB,RYE2154EDB,RYE2154EDB,181031,51.70950706,-25.75069001,0.082038757,NA,NA,NA,NA,,,,,,,,,,
134,RYE2158B,RYE2158B,RYE2158B,181031,45.21146001,-26.03039395,0.082235899,181112,1.399550234,4.34983502,0.268487698,,,,,,,,,,
135,RYE2158C,RYE2158C,RYE2158C,181031,48.40876535,-25.88101167,0.082129507,181112,1.45463054,3.586436543,0.271846317,,,,,,,,,,
136,RYE2158E,RYE2158E,RYE2158E,181031,43.70081381,-25.6846581,0.081993513,181112,1.426897759,5.519361206,0.26429557,,,,,,,,,,
137,RYE23024A,RYE23024A,RYE23024A,181129,66.52515563,-25.28189959,0.077967731,190228,3.109143691,3.513702282,0.336853472,,,,,,,,,,
