,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,...15,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,TT2
70,SPT2304,454.4013837,181129,57.18234694,23.13778707,-27.29342002,0.085580045,90.27334882,NA,3.374540726,6.463098883,NA,NA,NA,0.373777485,Spelt,4,NA,230,NA,NA,NA,NA,36.48319569,NA,NA
71,SPT2308,523.6212848,181154.6667,64.0240022,24.51394197,-27.21460175,0.082693706,87.00216433,NA,3.266547034,6.77104069,NA,NA,NA,0.373648883,Spelt,8,NA,230,NA,NA,NA,NA,43.16612804,NA,NA
72,SPT24524,520.8322278,181206,64.33529012,25.22911235,-26.91228011,0.07670531,90.71908458,NA,3.727210794,5.994637609,NA,NA,NA,0.292166545,Spelt,24,NA,245,NA,NA,NA,NA,52.27938619,NA,NA
73,SPT2454,525.3174234,181206,63.41489477,27.22614167,-27.25052122,0.077770944,69.68047063,NA,3.205687421,6.378424202,NA,NA,NA,0.28314636,Spelt,4,NA,245,NA,NA,NA,NA,49.11229449,NA,NA
74,SPT2458,539.5691789,181206,67.68735075,25.15893532,-27.24915701,0.077767542,76.0389116,NA,3.306785386,6.676213257,NA,NA,NA,0.283077542,Spelt,8,NA,245,NA,NA,NA,NA,46.78797532,NA,NA
75,SPT26024,478.3636512,181213,58.65604814,19.83412919,-27.34694198,0.100848759,88.48003045,NA,3.985398543,6.329922493,NA,NA,NA,0.353554137,Spelt,24,NA,260,NA,NA,NA,NA,53.69348107,NA,NA
76,SPT2604,550.0058014,181213,69.37914349,22.34727273,-27.15914895,0.100436537,71.60613936,NA,3.486548343,6.005789544,NA,NA,NA,0.355871309,Spelt,4,NA,260,NA,NA,NA,NA,47.13664432,NA,NA
77,SPT2608,502.3796129,181213,62.477225,21.597322,-27.19974146,0.100530687,92.15072261,NA,3.967416733,6.329873047,NA,NA,NA,0.353594316,Spelt,8,NA,260,NA,NA,NA,NA,49.13933585,NA,NA
78,SPT30024,509.9041473,181219,63.82729135,19.82053423,-26.81027453,0.072949657,141.1375373,NA,5.557450726,5.918689696,NA,NA,NA,0.24387479,Spelt,24,NA,300,NA,NA,NA,NA,64.03727684,NA,NA
79,SPT3004,539.5333415,181219,66.32571865,22.8066643,-26.81753783,0.072965583,104.7717816,NA,4.050653437,5.947497319,NA,NA,NA,0.243829583,Spelt,4,NA,300,NA,NA,NA,NA,56.06421074,NA,NA
80,SPT3008,515.4543789,181219,67.01537284,23.69279006,-27.17352849,0.073898602,107.3709394,NA,4.336334881,6.202940345,NA,NA,NA,0.242617084,Spelt,8,NA,300,NA,NA,NA,NA,58.07467,NA,NA
