,ID,ID,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,,
88,OAT26024A,OAT26024A,OAT26024A,530.6039007,181213,70.74718676,18.584033,-27.93118843,0.102143646,87.11125213,190214,4.270159418,3.700226567,0.37788723,,,
89,OAT26024B,OAT26024B,OAT26024B,521.1697672,181213,69.48930229,17.67860452,-27.07430341,0.100254205,95.24084786,190214,4.556978367,4.854904549,0.365624506,,,
90,OAT26024CDA,OAT26024CDA,OAT26024CDA,603.111977,181213,73.5502411,18.25638752,-27.30200806,0.100742178,93.10223197,190214,4.270744586,4.686521978,0.367265406,4.519058928,,
91,OAT26024CDB,OAT26024CDB,OAT26024CDB,436.4338036,181213,51.95640519,18.76485816,-27.40036091,0.100956146,97.71516112,190214,4.248485266,4.351595877,0.370681564,,,
92,OAT2604A,OAT2604A,OAT2604A,576.267277,181213,73.88042013,19.66626285,-27.30035912,0.100738607,94.94098638,190214,4.794999312,4.877141231,0.365411691,,,
93,OAT2604B,OAT2604B,OAT2604B,577.2839707,181213,69.55228563,20.35380085,-27.63139453,0.101466257,80.85950107,190214,4.104543202,4.029582527,0.374152782,,,
94,OAT2604C,OAT2604C,OAT2604C,478.8726525,181213,59.12008056,20.74154428,-27.51580267,0.101209728,83.18460938,190214,4.159230469,3.662023348,0.378332205,,,
95,OAT2608A,OAT2608A,OAT2608A,520.5538113,181213,64.26590263,20.23768665,-27.40749407,0.100971739,105.3453602,190214,4.724007184,4.678123475,0.367348604,,,
96,OAT2608B,OAT2608B,OAT2608B,551.3455461,181213,64.86418189,18.81686514,-27.3343309,0.100812285,107.1563536,190214,5.127098258,4.299862799,0.371227023,,,
97,OAT2608C,OAT2608C,OAT2608C,609.2330212,181213,73.40156882,20.93512698,-26.8501743,0.099784106,110.4979208,190214,5.286981856,4.835120115,0.365814616,,,
98,OAT30024A,OAT30024A,OAT30024A,434.9196478,181219,54.36495598,19.54991688,-27.0213508,0.073486554,110.4194629,190222,4.347222949,5.122610057,0.248055323,,,
99,OAT30024B,OAT30024B,OAT30024B,582.9171008,181219,68.57848245,21.04391251,-27.0918358,0.073669217,112.8649553,190222,4.374610671,3.837607186,0.256553659,,,
100,OAT30024CDA,OAT30024CDA,OAT30024CDA,456.9466232,181219,58.58290041,21.79751708,-27.66144896,0.075182503,105.0453574,190222,4.413670479,4.800003459,0.249995522,4.558705861,4.915319734,0.249295189
101,OAT30024CDB,OAT30024CDB,OAT30024CDB,580.751203,181219,71.69767938,20.86237267,-27.59416953,0.075000391,108.6564227,190222,4.703741242,5.030636008,0.248594855,,,
102,OAT3004A,OAT3004A,OAT3004A,542.5461121,181219,71.38764633,21.25370887,-27.53520028,0.074841504,132.0802644,190222,5.41312559,3.718023572,0.257446156,,,
103,OAT3004B,OAT3004B,OAT3004B,644.0902738,181219,83.64808751,19.53717051,-26.72777031,0.072736981,138.5801692,190222,5.679515131,4.107681757,0.254599902,,,
104,OAT3004C,OAT3004C,OAT3004C,535.2817134,181219,72.33536668,20.12270701,-27.17922006,0.073897104,144.8368077,190222,5.613829756,4.107470397,0.254601397,,,
105,OAT3008A,OAT3008A,OAT3008A,557.7889537,181219,65.62222985,21.26660406,-27.17232781,0.073879073,141.3641105,190222,5.314440244,4.492302244,0.251968904,,,
106,OAT3008B,OAT3008B,OAT3008B,554.2948253,181219,67.59692991,19.85627984,-27.45669418,0.074631044,115.7790587,190222,4.864666332,3.816201701,0.25671219,,,
107,OAT3008C,OAT3008C,OAT3008C,570.3912204,181219,67.90371671,20.57601765,-26.55818472,0.072312413,118.4994697,190222,4.647038027,4.358520187,0.252863575,,,
108,RC2017RYE24524A,RC2017RYE24524A,RC2017RYE24524A,421.6908169,190308,68.01464789,20.36576867,-26.90635973,0.0747933,NA,NA,NA,NA,NA,,,
109,RC2017RYE24524B,RC2017RYE24524B,RC2017RYE24524B,365.2700782,190308,56.19539665,20.77683362,-27.51340851,0.075838301,NA,NA,NA,NA,NA,,,
110,RC2017RYE24524C,RC2017RYE24524C,RC2017RYE24524C,388.5637809,190308,61.67679062,23.84514013,-26.94620696,0.074856042,NA,NA,NA,NA,NA,,,
111,RC2018RYE24524A,RC2018RYE24524A,RC2018RYE24524A,393.7791295,190308,62.50462373,33.62911849,-25.60483189,0.07321347,45.13306449,190405,2.223303669,3.36579837,0.392488562,,,
112,RC2018RYE24524B,RC2018RYE24524B,RC2018RYE24524B,403.9360616,190308,65.15097768,33.85889591,-25.50083525,0.073127482,NA,NA,NA,NA,NA,,,
113,RC2018RYE24524CDA,RC2018RYE24524CDA,RC2018RYE24524CDA,413.3587324,190308,66.67076329,34.38425848,-26.0140118,0.073610363,NA,NA,NA,NA,NA,,,
114,RC2018RYE24524CDB,RC2018RYE24524CDB,RC2018RYE24524CDB,477.7641661,190308,71.30808449,31.67856009,-26.14179241,0.073753283,NA,NA,NA,NA,NA,,,
115,RC2018RYE24525B,RC2018RYE24525B,RC2018RYE24525B,NA,NA,NA,NA,NA,NA,51.53282175,190405,2.419381303,3.814839486,0.385833124,,,
116,RC2018RYE24526CDA,RC2018RYE24526CDA,RC2018RYE24526CDA,NA,NA,NA,NA,NA,NA,45.48107559,190405,2.19715341,3.477192033,0.3908034,,,
117,RC2018RYE24526CDB,RC2018RYE24526CDB,RC2018RYE24526CDB,NA,NA,NA,NA,NA,NA,47.47654364,190405,2.158024711,3.787840068,0.386222827,,,
118,RCSPARERYE24524A,RCSPARERYE24524A,RCSPARERYE24524A,457.9882744,190308,68.35645887,10.08761068,-25.12486514,0.072867464,58.05162252,190322,2.764362977,4.705266819,0.383676807,,,
119,RCSPARERYE24524B,RCSPARERYE24524B,RCSPARERYE24524B,392.5792154,190308,63.31922829,11.48588925,-25.49496423,0.073122809,65.31408463,190322,3.080853049,4.567550644,0.38540673,,,
120,RCSPARERYE24524C,RCSPARERYE24524C,RCSPARERYE24524C,406.4447914,190308,57.24574527,14.68536337,-25.65776175,0.073259561,56.39405925,190322,2.635236414,3.842234765,0.39498585,,,
